room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7007944,598390,Entire home/apt,,Bucktown,2,5.0,3.0,1.0,94.0,9.0,41.912824,-87.671971,2015-10-04 11:01:54.913453
6326806,12608762,Entire home/apt,,Ravenswood,9,4.5,,2.0,150.0,1.0,41.9733,-87.695866,2015-10-05 01:29:31.469169
6850175,22567195,Entire home/apt,,Bowmanville,16,5.0,,2.0,139.0,2.0,41.97782,-87.685744,2015-10-05 09:47:15.747932
7771287,5523510,Entire home/apt,,Rogers Park,0,,4.0,2.0,135.0,2.0,42.02083,-87.670444,2015-10-05 12:54:40.566759
1100200,791089,Entire home/apt,,Jefferson Park,3,3.5,5.0,2.0,200.0,7.0,41.981703,-87.770731,2015-10-03 23:10:39.458321
3783099,5006631,Private room,,Margate Park,11,4.5,2.0,1.0,85.0,1.0,41.973125,-87.652365,2015-10-05 07:27:07.270279
5883905,16829099,Private room,,Lake View,30,5.0,2.0,1.0,125.0,1.0,41.944866,-87.65151,2015-10-04 02:48:06.384290
4909823,17306155,Entire home/apt,,The Loop,6,5.0,2.0,0.0,175.0,4.0,41.886849,-87.630455,2015-10-05 15:18:40.414665
6015639,5663483,Entire home/apt,,The Loop,0,,3.0,1.0,180.0,15.0,41.886988,-87.629166,2015-10-05 12:01:10.730100
7713352,27077065,Private room,,Humboldt Park,3,4.5,2.0,1.0,65.0,1.0,41.906764,-87.6888,2015-10-04 05:08:20.842343
3586031,2884082,Entire home/apt,,Streeterville,22,4.0,,2.0,551.0,2.0,41.890637,-87.616738,2015-10-04 15:39:28.096461
806206,4184831,Entire home/apt,,Uptown,18,4.5,2.0,1.0,111.0,2.0,41.974802,-87.664055,2015-10-04 09:34:42.734576
6954293,36460682,Entire home/apt,,Lake View,5,5.0,4.0,2.0,250.0,2.0,41.940714,-87.658471,2015-10-04 17:34:08.863573
4785815,24671850,Entire home/apt,,Lake View East,5,5.0,2.0,1.0,165.0,2.0,41.942004,-87.647782,2015-10-03 19:33:02.078816
5737818,10216076,Private room,,South Loop,12,5.0,2.0,1.0,100.0,2.0,41.866717,-87.623203,2015-10-04 15:47:11.665227
6854745,21504508,Private room,,Noble Square,0,,2.0,1.0,67.0,1.0,41.897888,-87.667218,2015-10-05 00:41:18.485779
4345401,4301973,Private room,,Heart of Italy,36,5.0,1.0,1.0,44.0,1.0,41.84992,-87.683896,2015-10-04 01:38:06.622910
6324363,1931615,Entire home/apt,,Rogers Park,25,5.0,,2.0,145.0,2.0,42.003859,-87.66209,2015-10-04 21:45:29.493488
951854,4914575,Entire home/apt,,Lake View East,47,5.0,4.0,1.0,189.0,2.0,41.950443,-87.645614,2015-10-05 08:52:53.608930
5851032,4351307,Entire home/apt,,Logan Square,1,4.0,2.0,2.0,75.0,5.0,41.926821,-87.724352,2015-10-05 17:03:09.350218
1656336,8781008,Entire home/apt,,McKinley Park,84,4.5,5.0,2.0,85.0,1.0,41.825155,-87.674558,2015-10-05 14:59:20.532406
4070426,21112154,Private room,,South Loop,61,4.5,1.0,1.0,89.0,1.0,41.852578,-87.621798,2015-10-05 12:45:18.859765
4244893,8965017,Entire home/apt,,Streeterville,2,5.0,2.0,1.0,310.0,1.0,41.889842,-87.617129,2015-10-05 12:26:14.996919
6693396,33127842,Entire home/apt,,Near East Side,0,,,2.0,399.0,7.0,41.887414,-87.616663,2015-10-04 17:20:41.141229
686185,370619,Private room,,Ukrainian Village,62,5.0,2.0,1.0,110.0,3.0,41.902243,-87.680839,2015-10-04 06:27:39.965395
6836060,24446498,Entire home/apt,,Wicker Park,1,5.0,2.0,1.0,250.0,1.0,41.908655,-87.681588,2015-10-04 03:47:03.649200
1798630,9432679,Entire home/apt,,South Loop,53,4.5,4.0,1.0,125.0,1.0,41.850788,-87.625547,2015-10-04 09:15:10.208735
7331325,24530791,Entire home/apt,,Old Town,1,5.0,4.0,2.0,447.0,1.0,41.908644,-87.638796,2015-10-03 23:00:42.492117
7717824,40550635,Entire home/apt,,Near North,6,5.0,4.0,0.0,145.0,2.0,41.891435,-87.628738,2015-10-04 02:24:11.951630
7595007,3324198,Private room,,Albany Park,9,5.0,2.0,1.0,85.0,1.0,41.956056,-87.699552,2015-10-05 12:22:58.314470
1428024,4509503,Private room,,Logan Square,45,4.5,2.0,1.0,79.0,2.0,41.911223,-87.688238,2015-10-04 00:05:08.598800
6651255,33127842,Entire home/apt,,Near North,0,,4.0,1.0,275.0,5.0,41.893484,-87.629091,2015-10-04 14:25:49.861227
4872152,21922655,Private room,,Humboldt Park,23,5.0,2.0,1.0,48.0,1.0,41.907934,-87.688402,2015-10-04 09:29:33.351953
6812215,33277034,Private room,,Bucktown,1,,2.0,1.0,80.0,1.0,41.912198,-87.677089,2015-10-04 19:31:59.317967
25269,87231,Entire home/apt,,Old Town Triangle,75,4.0,,2.0,95.0,1.0,41.914226,-87.638461,2015-10-05 07:59:21.449129
6642335,34445564,Entire home/apt,,Bucktown,4,5.0,4.0,1.0,200.0,1.0,41.913242,-87.668277,2015-10-05 16:09:35.067223
6215773,31590815,Private room,,Rogers Park,17,5.0,2.0,1.0,60.0,2.0,42.003842,-87.666269,2015-10-04 07:24:34.540414
5279922,27332228,Entire home/apt,,South Loop,23,5.0,,3.0,550.0,2.0,41.861369,-87.624208,2015-10-05 15:39:22.017203
3921508,20287951,Entire home/apt,,Lake View,18,5.0,5.0,2.0,299.0,1.0,41.942162,-87.663993,2015-10-05 03:45:37.858856
3662946,18566326,Private room,,Tri-Taylor,20,4.5,2.0,1.0,75.0,2.0,41.871859,-87.680648,2015-10-05 16:57:13.265201
642071,81779,Entire home/apt,,Wicker Park,2,3.0,2.0,1.0,149.0,,41.905965,-87.673512,2015-10-04 12:32:49.835018
4536732,5536302,Private room,,Lake View,73,5.0,2.0,1.0,65.0,1.0,41.935678,-87.658096,2015-10-05 11:54:59.313009
7708953,38383526,Shared room,,Gage Park,12,5.0,1.0,1.0,15.0,1.0,41.792222,-87.698764,2015-10-04 03:59:35.025214
3013569,15358500,Private room,,Lake View East,29,4.5,2.0,1.0,110.0,1.0,41.95068,-87.649163,2015-10-05 15:22:54.611061
3032465,4244519,Private room,,Lake View East,9,5.0,2.0,1.0,95.0,1.0,41.944452,-87.647885,2015-10-04 02:37:43.161995
4795892,7573560,Private room,,Lake View East,62,5.0,2.0,1.0,69.0,1.0,41.933094,-87.647133,2015-10-05 13:10:19.550181
4662607,22568853,Private room,,Magnolia Glen,32,4.5,1.0,1.0,48.0,2.0,41.987689,-87.661275,2015-10-04 10:02:05.613984
14706,25188,Entire home/apt,,The Loop,9,4.5,4.0,1.0,229.0,3.0,41.888139,-87.624044,2015-10-05 05:15:53.639526
7438631,17264639,Entire home/apt,,Logan Square,3,4.5,4.0,1.0,88.0,3.0,41.938026,-87.719876,2015-10-03 20:33:05.526629
3534562,2013410,Entire home/apt,,Wrightwood Neighbors,65,5.0,5.0,2.0,175.0,1.0,41.927159,-87.657875,2015-10-05 06:34:08.220808
6924150,36293097,Entire home/apt,,Lake View East,8,5.0,2.0,1.0,200.0,1.0,41.944391,-87.644783,2015-10-04 16:11:42.570273
873628,4611613,Private room,,River West,49,5.0,1.0,1.0,75.0,2.0,41.893969,-87.649754,2015-10-05 02:08:12.339605
4924496,6720031,Shared room,,Heart of Italy,50,4.5,1.0,1.0,32.0,1.0,41.851805,-87.683286,2015-10-04 04:03:49.925331
6705593,691000,Shared room,,Englewood,9,4.5,3.0,1.0,13.0,2.0,41.775919,-87.655261,2015-10-04 23:38:00.691163
