room_id	host_id	room_type	borough	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	minstay	latitude	longitude	last_modified
7007944	598390	Entire home/apt		Bucktown	2	5	3	1	94	9	41.912824	-87.671971	01:54.9
6326806	12608762	Entire home/apt		Ravenswood	9	4.5		2	150	1	41.9733	-87.695866	29:31.5
6850175	22567195	Entire home/apt		Bowmanville	16	5		2	139	2	41.97782	-87.685744	47:15.7
7771287	5523510	Entire home/apt		Rogers Park	0		4	2	135	2	42.02083	-87.670444	54:40.6
1100200	791089	Entire home/apt		Jefferson Park	3	3.5	5	2	200	7	41.981703	-87.770731	10:39.5
3783099	5006631	Private room		Margate Park	11	4.5	2	1	85	1	41.973125	-87.652365	27:07.3
5883905	16829099	Private room		Lake View	30	5	2	1	125	1	41.944866	-87.65151	48:06.4
4909823	17306155	Entire home/apt		The Loop	6	5	2	0	175	4	41.886849	-87.630455	18:40.4
6015639	5663483	Entire home/apt		The Loop	0		3	1	180	15	41.886988	-87.629166	01:10.7
7713352	27077065	Private room		Humboldt Park	3	4.5	2	1	65	1	41.906764	-87.6888	08:20.8
3586031	2884082	Entire home/apt		Streeterville	22	4		2	551	2	41.890637	-87.616738	39:28.1
806206	4184831	Entire home/apt		Uptown	18	4.5	2	1	111	2	41.974802	-87.664055	34:42.7
6954293	36460682	Entire home/apt		Lake View	5	5	4	2	250	2	41.940714	-87.658471	34:08.9
4785815	24671850	Entire home/apt		Lake View East	5	5	2	1	165	2	41.942004	-87.647782	33:02.1
5737818	10216076	Private room		South Loop	12	5	2	1	100	2	41.866717	-87.623203	47:11.7
6854745	21504508	Private room		Noble Square	0		2	1	67	1	41.897888	-87.667218	41:18.5
4345401	4301973	Private room		Heart of Italy	36	5	1	1	44	1	41.84992	-87.683896	38:06.6
6324363	1931615	Entire home/apt		Rogers Park	25	5		2	145	2	42.003859	-87.66209	45:29.5
951854	4914575	Entire home/apt		Lake View East	47	5	4	1	189	2	41.950443	-87.645614	52:53.6
5851032	4351307	Entire home/apt		Logan Square	1	4	2	2	75	5	41.926821	-87.724352	03:09.3
1656336	8781008	Entire home/apt		McKinley Park	84	4.5	5	2	85	1	41.825155	-87.674558	59:20.5
4070426	21112154	Private room		South Loop	61	4.5	1	1	89	1	41.852578	-87.621798	45:18.9
4244893	8965017	Entire home/apt		Streeterville	2	5	2	1	310	1	41.889842	-87.617129	26:15.0
6693396	33127842	Entire home/apt		Near East Side	0			2	399	7	41.887414	-87.616663	20:41.1
686185	370619	Private room		Ukrainian Village	62	5	2	1	110	3	41.902243	-87.680839	27:40.0
6836060	24446498	Entire home/apt		Wicker Park	1	5	2	1	250	1	41.908655	-87.681588	47:03.6
1798630	9432679	Entire home/apt		South Loop	53	4.5	4	1	125	1	41.850788	-87.625547	15:10.2
7331325	24530791	Entire home/apt		Old Town	1	5	4	2	447	1	41.908644	-87.638796	00:42.5
7717824	40550635	Entire home/apt		Near North	6	5	4	0	145	2	41.891435	-87.628738	24:12.0
7595007	3324198	Private room		Albany Park	9	5	2	1	85	1	41.956056	-87.699552	22:58.3
1428024	4509503	Private room		Logan Square	45	4.5	2	1	79	2	41.911223	-87.688238	05:08.6
6651255	33127842	Entire home/apt		Near North	0		4	1	275	5	41.893484	-87.629091	25:49.9
4872152	21922655	Private room		Humboldt Park	23	5	2	1	48	1	41.907934	-87.688402	29:33.4
6812215	33277034	Private room		Bucktown	1		2	1	80	1	41.912198	-87.677089	31:59.3
25269	87231	Entire home/apt		Old Town Triangle	75	4		2	95	1	41.914226	-87.638461	59:21.4
6642335	34445564	Entire home/apt		Bucktown	4	5	4	1	200	1	41.913242	-87.668277	09:35.1
6215773	31590815	Private room		Rogers Park	17	5	2	1	60	2	42.003842	-87.666269	24:34.5
5279922	27332228	Entire home/apt		South Loop	23	5		3	550	2	41.861369	-87.624208	39:22.0
3921508	20287951	Entire home/apt		Lake View	18	5	5	2	299	1	41.942162	-87.663993	45:37.9
3662946	18566326	Private room		Tri-Taylor	20	4.5	2	1	75	2	41.871859	-87.680648	57:13.3
642071	81779	Entire home/apt		Wicker Park	2	3	2	1	149		41.905965	-87.673512	32:49.8
4536732	5536302	Private room		Lake View	73	5	2	1	65	1	41.935678	-87.658096	54:59.3
7708953	38383526	Shared room		Gage Park	12	5	1	1	15	1	41.792222	-87.698764	59:35.0
3013569	15358500	Private room		Lake View East	29	4.5	2	1	110	1	41.95068	-87.649163	22:54.6
3032465	4244519	Private room		Lake View East	9	5	2	1	95	1	41.944452	-87.647885	37:43.2
4795892	7573560	Private room		Lake View East	62	5	2	1	69	1	41.933094	-87.647133	10:19.5
4662607	22568853	Private room		Magnolia Glen	32	4.5	1	1	48	2	41.987689	-87.661275	02:05.6
14706	25188	Entire home/apt		The Loop	9	4.5	4	1	229	3	41.888139	-87.624044	15:53.6
7438631	17264639	Entire home/apt		Logan Square	3	4.5	4	1	88	3	41.938026	-87.719876	33:05.5
3534562	2013410	Entire home/apt		Wrightwood Neighbors	65	5	5	2	175	1	41.927159	-87.657875	34:08.2
